dog_id,hs_condition
65399,1001
90516,1001
74996,1001
3894,2098
47928,1001
58828,1001
7113,1001
16053,1015
63887,1001
42700,1001
86741,1005
26052,1001
94919,1001
72439,1001
23648,1001
2675,1001
59444,1001
85396,1001
96588,1001
68266,1001
89489,1001
57597,1005
1107,1001
84021,1001
27166,1001
35922,1001
53687,1014
65034,1001
31069,1001
83489,1002
925,1001
5738,1001
82180,1005
34232,1001
7822,1001
98722,1001
13161,1001
86566,1001
76564,1001
23081,1001
3572,2002
28231,1001
36798,1001
47138,1002
15855,1001
84338,1015
86970,1001
79361,1001
89573,1006
9284,1015
32678,1001
34983,1001
71737,1001
86672,1001
60117,1001
84220,1001
72417,1014
97726,1014
88241,1017
55908,1015
51267,1015
91157,1001
99067,1001
57550,1001
10767,2011
57621,2002
98222,1015
89776,1006
83960,1001
83960,1001
4101,1001
5708,1001
6974,1001
62415,1015
656,1001
85414,1015
79577,1001
86737,1002
95398,1001
1472,1001
77487,1017
79210,1015
7438,1001
102559,1013
73597,1001
73814,1001
91116,1001
52663,1001
36722,1001
65761,1001
6602,1012
89980,1001
74543,1001
3396,2025
15369,1001
35701,1001
45039,1001
