dog_id,hs_condition
72028,1612
95532,1612
15216,1612
61353,1612
43583,1612
24755,1612
49136,1612
66545,1612
96185,1612
33394,1612
7009,1612
92049,1612
102753,1612
68950,1612
22047,411
90528,411
26592,432
85681,432
102633,432
33882,430
2358,430
40005,430
88625,430
73327,430
55911,430
40076,430
31420,430
84005,430
54591,430
4871,430
58470,430
220,430
49139,430
98568,430
47960,430
39126,430
32529,430
57568,430
77433,430
21051,430
92373,430
19455,413
37218,413
67461,413
57481,413
92,413
19935,426
48155,426
81136,426
77401,426
1476,426
10831,426
14710,426
77376,712
58025,712
37564,712
63219,712
55219,712
