dog_id,hs_condition
86445,1210
3059,1105
7906,1105
13062,1105
3367,109
3950,1105
8493,1105
64571,1105
1788,1112
1206,1105
9301,1105
66675,1105
40912,1105
100299,1105
81521,1105
91464,109
7729,1105
13312,1105
3546,1105
4158,1105
39113,1105
4336,1210
3802,1105
29912,1105
32773,1208
1891,1105
83515,1105
3371,1105
744,1105
33240,1105
2259,1105
37871,1105
91336,1105
9167,1105
3462,1105
83155,1105
9478,1804
3575,1105
97629,1105
11681,1105
32935,1105
9458,1105
87857,1105
2749,1105
4294,1105
8995,1105
9335,1105
6324,1105
15326,1105
3417,1105
87692,1105
7040,1105
63181,1105
80909,109
65740,1105
67638,1105
31399,1105
18504,409
12113,409
88630,1105
85789,1178
28559,409
4287,1105
9209,1105
58793,1105
90476,1817
66105,1105
91308,1105
15000,1111
85749,409
89328,1105
7578,1105
16973,1117
95691,1114
25565,1105
33189,1112
86675,109
4207,1105
59420,1105
65612,1105
16456,1105
96430,1105
49694,1117
65751,1105
14600,1105
51435,1105
6501,1111
108857,1105
9899,1111
60807,1105
87109,1111
102325,1105
81698,1105
65765,1105
58616,409
91292,1105
31833,1112
32412,1105
5182,1111
46806,1105
16507,1112
7354,1105
85309,1105
9995,1111
75829,1817
70273,1111
56615,1111
102757,1105
772,1111
4330,1804
96803,1817
97322,1105
96531,1105
81258,713
91555,117
32868,1105
34746,1105
85723,1803
69883,1105
30289,1105
89440,1812
94602,1805
84390,1212
26628,1105
1004,1105
6239,1105
88049,1105
53555,1117
57900,1105
86582,1112
82745,1105
45015,1112
9081,1111
11739,1105
19497,116
37247,1112
102925,1111
19136,1212
65026,1105
4900,1105
31310,109
76079,1105
36106,1105
31438,1111
38494,1105
103171,1105
24595,1111
64627,1112
4970,1112
9931,1112
58230,1112
29606,1105
67158,1105
55889,1105
56293,1105
43088,1105
15741,1105
61650,1112
31438,1210
25105,1112
45857,1111
89832,1105
3934,1105
56053,1806
38166,1306
74715,109
65085,1111
59730,1105
42671,1111
38659,1306
86872,1105
42155,1817
85551,1801
46385,1817
2270,1105
11770,1113
74537,1105
65373,1105
20113,1105
70258,1105
65713,1105
56044,1105
19950,1111
102925,1111
69629,1816
77433,119
18824,1105
60693,1812
3594,1812
91961,1111
98346,1112
61783,1112
37685,713
39587,1816
86820,1105
19497,103
4643,1817
63747,1212
96107,1178
7893,1105
70739,1105
56336,1112
82821,1111
24556,1111
61213,1817
95925,1112
86877,1105
83426,1105
5789,1817
81125,109
10831,1105
29528,109
14993,109
48307,109
16013,1805
90763,1815
82040,1801
71079,1111
34432,1105
96686,109
12539,1111
86669,1812
82565,1178
1777,1105
38032,1105
91226,1105
87131,1111
95709,1105
12824,1112
6670,1111
17249,1105
48843,1105
19104,1111
70761,1112
59154,1105
13209,1210
85832,1110
13383,809
53041,1112
42079,1306
52376,1112
14897,1105
15569,108
54454,1105
29156,1105
24665,1112
97942,1817
13814,1105
30231,1812
42884,1306
14094,1105
87892,1105
18882,1105
77799,1178
44575,1110
51435,1105
2515,1817
90636,1105
85337,1111
4287,1105
3939,1812
49371,1105
72353,1105
86796,1105
83341,1105
17924,1111
31756,1111
36856,1105
86295,1804
31869,1105
21583,1111
66972,1105
55515,1105
82073,1105
20908,1810
96351,1105
36009,1111
26441,1105
15356,1810
82149,1105
11095,1117
30998,1306
2293,1112
69481,1812
62941,1105
15846,1112
19666,1812
88788,713
77957,1105
